,trials,multiplications,threads,time,implementation,batchsize,effective_multiplications
0,693,257,8,1.16016397,numpy,1,178101
1,82,37,1,0.113183179,numpy,1,3034
2,476,350,4,1.044544468,numpy,1,166600
3,38,139,8,0.123873896,numpy,1,5282
4,523,856,1,2.617269159,numpy,1,447688
5,248,584,8,0.981635581,numpy,1,144832
6,723,887,2,3.651003066,numpy,1,641301
7,483,91,8,0.384031293,numpy,1,43953
8,63,632,8,0.374542276,numpy,1,39816
9,776,552,4,2.545089683,numpy,1,428352
10,856,60,4,0.413165683,numpy,1,51360
11,860,751,4,3.71803844,numpy,1,645860
12,312,289,1,0.614104773,numpy,1,90168
13,284,307,4,0.602227675,numpy,1,87188
14,350,578,8,1.274838361,numpy,1,202300
15,633,144,2,0.611271407,numpy,1,91152
16,892,149,8,0.916429452,numpy,1,132908
17,726,639,4,2.702111985,numpy,1,463914
18,288,305,2,0.591443152,numpy,1,87840
19,7,290,1,0.103453021,numpy,1,2030
20,561,190,1,0.6828991,numpy,1,106590
21,59,709,1,0.32422285,numpy,1,41831
22,776,974,2,4.321157003,numpy,1,755824
23,798,329,2,1.570301112,numpy,1,262542
24,979,672,8,3.870303956,numpy,1,657888
25,70,599,4,0.355484373,numpy,1,41930
26,118,930,1,0.71628493,numpy,1,109740
27,985,498,8,2.920899162,numpy,1,490530
28,853,162,2,0.884525587,numpy,1,138186
29,24,435,4,0.175931787,numpy,1,10440
30,153,82,4,0.1861719,numpy,1,12546
31,945,899,2,4.902386421,numpy,1,849555
32,89,178,4,0.198131052,numpy,1,15842
33,263,63,2,0.194627142,numpy,1,16569
34,46,99,8,0.116337455,numpy,1,4554
35,699,144,2,0.659903874,numpy,1,100656
36,253,547,8,0.896263053,numpy,1,138391
37,603,207,1,0.797924559,numpy,1,124821
38,85,698,8,0.472908623,numpy,1,59330
39,867,677,4,3.378485146,numpy,1,586959
40,448,843,2,2.243868469,numpy,1,377664
41,288,193,8,0.495280621,numpy,1,55584
42,483,186,1,0.600090042,numpy,1,89838
43,331,500,2,1.026324335,numpy,1,165500
44,825,420,2,2.004071756,numpy,1,346500
45,980,260,4,1.554044915,numpy,1,254800
46,366,972,2,2.084404206,numpy,1,355752
47,113,677,2,0.525912325,numpy,1,76501
48,911,562,2,3.011483347,numpy,1,511982
49,89,526,8,0.411385459,numpy,1,46814
50,831,500,4,2.483560238,numpy,1,415500
51,847,17,4,0.202529918,numpy,1,14399
52,516,906,8,2.740134757,numpy,1,467496
53,834,204,4,1.049039495,numpy,1,170136
54,313,126,2,0.321539687,numpy,1,39438
55,813,926,1,4.335129555,numpy,1,752838
56,958,93,8,0.632116186,numpy,1,89094
57,463,179,1,0.559288387,numpy,1,82877
58,186,591,8,0.815037029,numpy,1,109926
59,589,422,2,1.498103302,numpy,1,248558
60,402,266,1,0.70030526,numpy,1,106932
61,134,811,2,0.703948462,numpy,1,108674
62,375,56,2,0.220637442,numpy,1,21000
63,658,559,4,2.204304763,numpy,1,367822
64,314,426,8,0.910546497,numpy,1,133764
65,62,756,1,0.351979681,numpy,1,46872
66,945,422,2,2.371224295,numpy,1,398790
67,199,415,4,0.580810353,numpy,1,82585
68,138,42,2,0.14526069,numpy,1,5796
69,142,570,8,0.579034098,numpy,1,80940
70,708,500,4,2.13409232,numpy,1,354000
71,507,66,8,0.320997582,numpy,1,33462
72,353,889,1,1.862203467,numpy,1,313817
73,153,747,8,0.802307705,numpy,1,114291
74,517,356,2,1.137100707,numpy,1,184052
75,443,943,8,2.456495994,numpy,1,417749
76,28,208,8,0.123580928,numpy,1,5824
77,606,212,1,0.838811132,numpy,1,128472
78,279,21,8,0.140083997,numpy,1,5859
79,410,856,8,2.0720746,numpy,1,350960
80,13,809,8,0.159227952,numpy,1,10517
81,110,178,8,0.215993327,numpy,1,19580
82,371,711,8,1.587794215,numpy,1,263781
83,723,645,4,2.714887184,numpy,1,466335
84,259,115,4,0.279427809,numpy,1,29785
85,689,623,4,2.533840651,numpy,1,429247
86,696,626,1,2.570550033,numpy,1,435696
87,363,755,4,1.608918658,numpy,1,274065
88,719,643,8,2.709870491,numpy,1,462317
89,637,974,8,3.582272779,numpy,1,620438
90,435,36,2,0.198293806,numpy,1,15660
91,649,129,8,0.640159526,numpy,1,83721
92,347,748,1,1.558649466,numpy,1,259556
93,699,483,1,2.021205926,numpy,1,337617
94,307,495,8,1.0140276,numpy,1,151965
95,302,133,4,0.340600977,numpy,1,40166
96,325,189,2,0.446407234,numpy,1,61425
97,979,97,4,0.649398996,numpy,1,94963
98,335,746,4,1.508588875,numpy,1,249910
99,322,200,1,0.459031731,numpy,1,64400
100,447,995,4,2.62816475,numpy,1,444765
101,92,882,4,0.568706391,numpy,1,81144
102,459,724,2,1.977174434,numpy,1,332316
103,470,61,4,0.275331299,numpy,1,28670
104,899,141,1,0.800463171,numpy,1,126759
105,200,235,1,0.357163016,numpy,1,47000
106,684,404,2,1.634900896,numpy,1,276336
107,428,723,8,1.884829561,numpy,1,309444
108,592,35,8,0.269073261,numpy,1,20720
109,995,780,4,4.386588153,numpy,1,776100
110,167,184,4,0.28450277,numpy,1,30728
111,920,166,2,0.975958892,numpy,1,152720
112,486,682,8,1.934296531,numpy,1,331452
113,552,249,1,0.883417952,numpy,1,137448
114,136,451,1,0.438457709,numpy,1,61336
115,650,544,8,2.136586309,numpy,1,353600
116,347,272,1,0.618588297,numpy,1,94384
117,507,572,4,1.753867834,numpy,1,290004
118,538,154,8,0.641155171,numpy,1,82852
119,100,458,2,0.354610457,numpy,1,45800
120,220,445,1,0.649137075,numpy,1,97900
