trials,multiplications,threads,time
10,10,1,8948046
10,10,2,1705433
10,10,4,1850395
10,10,8,1834315
10,10,16,2113898
10,20,1,1954459
10,20,2,1748785
10,20,4,1837451
10,20,8,2015654
10,20,16,2011336
10,30,1,2247208
10,30,2,1823755
10,30,4,1805251
10,30,8,1893946
10,30,16,2094141
10,40,1,2351202
10,40,2,2036984
10,40,4,1889638
10,40,8,1898635
10,40,16,2059797
10,50,1,2559492
10,50,2,2049128
10,50,4,1868649
10,50,8,1914144
10,50,16,2053726
10,60,1,2529817
10,60,2,2416164
10,60,4,2023589
10,60,8,1998462
10,60,16,1899987
10,70,1,2795615
10,70,2,2300628
10,70,4,2126482
10,70,8,2030913
10,70,16,1914845
10,80,1,3046515
10,80,2,2287153
10,80,4,1996589
10,80,8,2056892
10,80,16,1925276
10,90,1,3295781
10,90,2,2457202
10,90,4,2060829
10,90,8,2233913
10,90,16,1982132
10,100,1,3560587
10,100,2,2598746
10,100,4,2164473
10,100,8,2126642
10,100,16,1959429
20,10,1,1817533
20,10,2,1742063
20,10,4,1819818
20,10,8,1825920
20,10,16,2093791
20,20,1,2425813
20,20,2,2067171
20,20,4,2119229
20,20,8,1935124
20,20,16,2149785
20,30,1,2615709
20,30,2,2266053
20,30,4,1995156
20,30,8,2014873
20,30,16,2170635
20,40,1,3093773
20,40,2,2187165
20,40,4,2069455
20,40,8,2131331
20,40,16,2026104
20,50,1,3368147
20,50,2,2620978
20,50,4,2730553
20,50,8,2216280
20,50,16,2303303
20,60,1,3950999
20,60,2,2710535
20,60,4,2369927
20,60,8,2334471
20,60,16,2275010
20,70,1,4466955
20,70,2,2944343
20,70,4,2463653
20,70,8,2241197
20,70,16,2399674
20,80,1,4732973
20,80,2,3270585
20,80,4,2706869
20,80,8,2323831
20,80,16,2373134
20,90,1,5202272
20,90,2,3400748
20,90,4,2629153
20,90,8,2375068
20,90,16,2447774
20,100,1,5500911
20,100,2,3718724
20,100,4,2793451
20,100,8,3027159
20,100,16,2629835
30,10,1,2070297
30,10,2,1847459
30,10,4,2149475
30,10,8,1853311
30,10,16,2009934
30,20,1,2656945
30,20,2,2194319
30,20,4,2002519
30,20,8,2026475
30,20,16,2298183
30,30,1,3223667
30,30,2,2487979
30,30,4,2499841
30,30,8,2107477
30,30,16,2190883
30,40,1,3940369
30,40,2,2770989
30,40,4,2222752
30,40,8,2191404
30,40,16,2181495
30,50,1,4516337
30,50,2,3063737
30,50,4,2391789
30,50,8,2488670
30,50,16,2183058
30,60,1,5617990
30,60,2,4002244
30,60,4,2687022
30,60,8,2429189
30,60,16,2296250
30,70,1,6051632
30,70,2,3905824
30,70,4,2688314
30,70,8,2507886
30,70,16,2386609
30,80,1,6555566
30,80,2,4098645
30,80,4,2978427
30,80,8,2767622
30,80,16,2452422
30,90,1,7050192
30,90,2,4423032
30,90,4,2970051
30,90,8,2807397
30,90,16,2457241
30,100,1,7844008
30,100,2,4861263
30,100,4,3202637
30,100,8,2899339
30,100,16,2580222
40,10,1,2369978
40,10,2,1925576
40,10,4,1882755
40,10,8,1916379
40,10,16,2154845
40,20,1,3149748
40,20,2,2549574
40,20,4,2079945
40,20,8,2062292
40,20,16,2446000
40,30,1,3946651
40,30,2,2707009
40,30,4,2319694
40,30,8,2269209
40,30,16,2376340
40,40,1,4711904
40,40,2,3187359
40,40,4,2589058
40,40,8,2576355
40,40,16,2512826
40,50,1,5580981
40,50,2,3683127
40,50,4,3198770
40,50,8,2757303
40,50,16,2799171
40,60,1,6309004
40,60,2,3933836
40,60,4,2848474
40,60,8,2795385
40,60,16,2946859
40,70,1,7391241
40,70,2,5123084
40,70,4,3073455
40,70,8,3286664
40,70,16,2817075
40,80,1,8085681
40,80,2,5056750
40,80,4,3353820
40,80,8,3469427
40,80,16,3154967
40,90,1,8887973
40,90,2,5115058
40,90,4,6180483
40,90,8,3694168
40,90,16,2986853
40,100,1,9712918
40,100,2,5643067
40,100,4,4285445
40,100,8,4051527
40,100,16,3367486
50,10,1,2493910
50,10,2,2080656
50,10,4,1945633
50,10,8,2014152
50,10,16,2338508
50,20,1,3549046
50,20,2,2622551
50,20,4,2298374
50,20,8,2197485
50,20,16,2330003
50,30,1,4522088
50,30,2,3077222
50,30,4,2495243
50,30,8,2626959
50,30,16,2456279
50,40,1,5484690
50,40,2,3829301
50,40,4,2719091
50,40,8,2592064
50,40,16,2645985
50,50,1,6583879
50,50,2,4116388
50,50,4,2931990
50,50,8,2849677
50,50,16,3024523
50,60,1,8305562
50,60,2,4657702
50,60,4,3154497
50,60,8,3195243
50,60,16,3059098
50,70,1,8500288
50,70,2,5096834
50,70,4,3403473
50,70,8,3591845
50,70,16,3681735
50,80,1,9674376
50,80,2,5664708
50,80,4,3764820
50,80,8,3736607
50,80,16,3405667
50,90,1,10752044
50,90,2,6229816
50,90,4,4686917
50,90,8,4016462
50,90,16,3599170
50,100,1,12094267
50,100,2,6815082
50,100,4,4226174
50,100,8,4117570
50,100,16,3752837
60,10,1,2731605
60,10,2,2168701
60,10,4,2023058
60,10,8,2029390
60,10,16,2124107
60,20,1,4047940
60,20,2,2997332
60,20,4,2284728
60,20,8,2560034
60,20,16,2343920
60,30,1,5674185
60,30,2,3221573
60,30,4,2409612
60,30,8,2341505
60,30,16,2444017
60,40,1,6871858
60,40,2,4690293
60,40,4,3048779
60,40,8,2971134
60,40,16,2756181
60,50,1,7487852
60,50,2,4723464
60,50,4,3290331
60,50,8,3470579
60,50,16,3053819
60,60,1,9049856
60,60,2,5173157
60,60,4,3697764
60,60,8,3437267
60,60,16,2973629
60,70,1,10079614
60,70,2,6003442
60,70,4,4054202
60,70,8,3749251
60,70,16,3324515
60,80,1,11592027
60,80,2,6600530
60,80,4,4870110
60,80,8,4137077
60,80,16,3528989
60,90,1,13061128
60,90,2,7047557
60,90,4,4571220
60,90,8,4362009
