trials,multiplications,threads,time
2162,476,2,1017534350
994,1739,2,1720519557
959,120,4,62415366
602,240,4,75596709
1704,159,4,140680893
2108,1755,1,7251341084
111,1712,4,97308014
281,1859,8,207071082
1615,862,8,533764283
1383,229,2,322812394
1289,2106,4,1360892125
2131,247,4,268417557
1092,236,4,143576454
1873,1321,8,951187741
2119,1003,4,1079671144
346,2162,1,1486692834
189,1574,8,124069257
788,990,2,773197926
370,1373,8,204491702
1013,1053,2,1069953667
284,2250,4,333987890
2198,1834,2,3985394139
1345,1483,2,1981391424
2494,1151,1,5694835622
1871,1671,4,1578929902
1522,219,8,143396748
523,1124,1,1171763622
825,543,1,890980560
2024,282,2,588272502
2115,1110,4,1191495871
1367,61,2,88786608
1342,1212,8,629708163
2494,2203,4,2788458642
1101,487,8,216455756
1517,603,4,466993651
205,2405,8,196711944
1014,122,8,60668675
809,16,2,17118065
2091,400,8,330096695
887,544,1,964589086
118,1450,4,89639334
1745,2073,4,1831009195
1814,1873,1,6768772588
423,1646,2,695356302
2426,1203,2,2912221515
1766,116,2,208961622
2058,2356,8,1858916022
1310,1661,4,1106029571
619,1682,2,1047102757
2205,180,8,168321691
1733,1274,8,850603402
1035,1801,8,738625226
533,781,4,215807532
2434,356,1,1732907194
729,1946,4,726007649
252,2112,2,532272009
1595,1674,1,5314114941
915,522,4,244893547
2248,39,8,45784123
2293,564,4,669199793
1203,1162,1,2785386619
981,870,4,432217932
2392,1341,8,1231529577
91,201,2,22543213
250,960,1,479685196
1715,490,2,849370452
2167,830,2,1803312191
2318,1083,1,4963596086
1045,2442,8,978927536
1361,1653,1,4449228805
478,535,8,108462252
1764,469,2,827661602
1443,614,8,348464840
104,2208,1,458121607
958,963,2,925106643
2187,70,2,157203262
1994,1141,4,1288896619
478,1451,4,354492377
2312,925,2,2139422516
303,195,2,61478903
701,658,8,193468550
2225,720,8,622790559
103,1352,8,66818040
815,2014,1,3271361393
1328,1234,1,3261353653
1331,353,2,476790306
1399,377,4,279892574
467,1664,8,307870695
580,340,4,104956587
1515,547,1,1721136753
95,1086,1,207400439
29,1408,1,83830478
1295,1098,8,550012950
570,1404,8,316213787
2371,284,2,678428024
2472,2320,8,2191633454
704,2447,1,3426833834
1254,2329,1,5805912379
772,2125,8,631717014
1939,1961,8,1471710740
1976,1960,1,7683299198
1887,2145,8,1537934477
1781,1544,2,2735975655
435,431,4,114504937
1457,1316,2,1896869342
2066,1470,8,1173790287
2129,2410,8,1963379045
189,1586,4,155016486
361,792,2,288714284
1701,2398,1,8124872479
321,1251,1,800723649
1843,355,1,1304776686
2483,2185,2,5466189509
1170,359,8,173274597
632,227,4,77327971
1777,418,1,1483734804
430,1747,8,301821076
269,1300,4,192912660
2415,1025,4,1259474154
1079,1688,8,698306758
14,882,2,16679713
1024,1428,2,1467261728
1125,1225,8,539024743
2095,1775,1,7401173273
586,1132,8,268357334
2049,376,1,1539044666
2497,1414,8,1349667657
1314,306,1,811333997
564,1417,2,810830034
1484,2282,1,6733942617
199,840,4,97066753
2098,2436,8,1956222093
651,1919,4,644382742
2296,247,1,1127832539
279,1271,2,354658767
768,1460,2,1118197667
2308,722,4,839114738
1390,2081,2,2883879322
601,2315,1,2752450194
1786,121,1,430444160
2371,139,2,337738274
350,1478,4,271729628
2412,307,8,296776060
1695,1171,2,1993891451
1893,781,1,2950179423
1971,1166,1,4570219877
1923,1134,8,843828665
169,2167,4,188349164
180,973,2,175315027
2264,1743,8,1526362197
244,2086,2,518763573
519,325,8,76183127
1811,409,1,1474047786
943,314,1,594084435
1808,1872,2,3441490700
1993,451,2,897999544
2374,2436,4,2903724984
2327,2332,4,2735107875
899,2007,2,1785347660
905,141,1,254621515
1184,1778,8,812558048
1606,545,8,347950611
88,2123,1,378484126
840,403,1,680119107
1245,962,8,466455619
1830,1742,4,1601814883
2362,1649,8,1498296948
548,132,1,145204736
1281,2005,8,999194397
1734,1881,1,6526694221
2053,505,2,1040719365
253,2470,8,247153400
1433,2213,2,3165901618
1436,525,2,762766861
500,958,2,479211565
793,43,8,21138333
22,433,1,20502743
1493,2150,2,3237772180
990,559,8,227357692
2460,652,8,652298080
1373,1892,8,1003679986
1415,1171,8,641406506
1982,1400,8,1074879152
105,45,1,12319319
1202,651,8,310282264
113,1714,1,389838087
438,1929,2,850329267
1381,1028,2,1444172948
900,2467,4,1130846644
55,565,2,34529849
1437,2454,1,6968385878
725,2054,4,751660704
1685,2318,2,3899518413
2290,958,8,849698616
2373,130,4,169567346
799,736,2,588498301
1228,338,1,822884175
1271,886,2,1117210640
1051,1761,2,1838384014
536,1499,4,419728358
759,1150,4,453896481
1954,1318,8,998241602
1726,2308,2,3985827272
2105,20,1,88118147
138,2174,8,131796478
916,44,4,24270198
1151,504,8,236484552
701,206,2,146576654
1802,1037,8,727700236
278,2020,2,572137385
233,1828,1,854335759
2396,450,8,426663084
683,1044,1,1424321034
2158,1792,1,7666396859
1035,1972,4,1044585755
542,426,1,465300335
1609,1243,2,1987029001
539,1838,8,393143908
2227,867,1,3861907214
2168,2281,1,9778737636
1967,318,8,248878992
1906,1784,8,1318352641
2342,1575,2,3657541977
2468,552,2,1358339749
2401,53,8,62787093
1182,850,1,1988605043
1857,438,1,1623560874
1642,548,2,901515697
1915,270,8,212697130
2032,1908,4,2037308964
2408,1860,1,8979631397
1298,1308,1,3393148873
422,406,2,177421754
1629,1763,1,5678879052
1547,1363,2,2099943902
190,1463,4,144377707
288,2431,2,737402204
75,22,2,4872394
280,1560,8,178334584
1643,897,4,752265697
485,1770,8,336157136
809,937,8,302527001
1494,79,1,240591053
1302,648,2,839487856
1492,350,2,525001720
1711,688,1,2346619488
1305,2024,2,2628220094
1527,961,8,570349427
488,1959,8,373868864
209,1820,8,157357603
579,616,4,181477919
348,599,1,417122089
2363,1634,2,3842862751
1333,937,2,1253357203
2120,922,1,3866337930
1493,2070,1,6150278899
59,820,4,37688645
414,50,2,23006210
2247,221,2,500198946
245,379,8,47888615
804,776,8,246543168
1871,1453,8,1040412391
2109,173,4,188113976
1874,1671,8,1202062621
1261,1390,1,3475474713
442,905,8,166240076
1329,2255,8,1155421642
2494,1856,1,9155409593
1704,2408,4,2076204408
227,1513,8,142179440
966,823,1,1578091198
890,86,8,43148979
888,1955,8,670716160
2159,308,1,1320663529
1627,1845,1,5947850760
1108,1048,1,2287590473
2020,5,8,10914438
2069,382,8,311859196
1274,232,1,589413576
1803,1551,4,1418148596
