trials,multiplications,threads,time
10,10,1,6403089
10,10,2,1850505
10,10,4,2227380
10,10,8,1804458
10,10,16,1433554
10,20,1,1376998
10,20,2,1450466
10,20,4,1494378
10,20,8,1349356
10,20,16,1627326
10,30,1,1888175
10,30,2,1484510
10,30,4,1503765
10,30,8,1659557
10,30,16,1786485
10,40,1,1508494
10,40,2,1555592
10,40,4,1529464
10,40,8,1492684
10,40,16,1544132
10,50,1,1528973
10,50,2,1599034
10,50,4,1504256
10,50,8,1528512
10,50,16,1603683
10,60,1,1507132
10,60,2,1530636
10,60,4,1508004
10,60,8,1547147
10,60,16,1653476
10,70,1,1502112
10,70,2,1479731
10,70,4,1493656
10,70,8,1489499
10,70,16,1572524
10,80,1,1511751
10,80,2,1529083
10,80,4,1549051
10,80,8,1505459
10,80,16,1563478
10,90,1,1477957
10,90,2,1566884
10,90,4,1494148
10,90,8,1501512
10,90,16,1501531
10,100,1,1536026
10,100,2,1545374
10,100,4,1532930
10,100,8,1457529
10,100,16,1570230
20,10,1,1714129
20,10,2,1613791
20,10,4,1663064
20,10,8,1672181
20,10,16,1542218
20,20,1,1891862
20,20,2,1699973
20,20,4,1645751
20,20,8,1719129
20,20,16,1552757
20,30,1,2122033
20,30,2,1835918
20,30,4,1677340
20,30,8,1671439
20,30,16,1611677
20,40,1,2347395
20,40,2,1900889
20,40,4,1762299
20,40,8,1706235
20,40,16,1560862
20,50,1,2536248
20,50,2,2038758
20,50,4,1800802
20,50,8,1856696
20,50,16,1986900
20,60,1,2828065
20,60,2,2214646
20,60,4,1891411
20,60,8,1858329
20,60,16,1752601
20,70,1,2888368
20,70,2,2207363
20,70,4,1912381
20,70,8,1933981
20,70,16,1560392
20,80,1,3392221
20,80,2,2448084
20,80,4,1970900
20,80,8,1843532
20,80,16,1584918
20,90,1,3379357
20,90,2,2416514
20,90,4,2012037
20,90,8,1822783
20,90,16,1619572
20,100,1,3448387
20,100,2,2453353
20,100,4,2059596
20,100,8,1876544
20,100,16,1591560
30,10,1,2020843
30,10,2,1812284
30,10,4,1714711
30,10,8,1643998
30,10,16,1702608
30,20,1,2362033
30,20,2,1953477
30,20,4,1756458
30,20,8,1825668
30,20,16,1842681
30,30,1,2779043
30,30,2,2188297
30,30,4,1887745
30,30,8,1885210
30,30,16,2096485
30,40,1,3261076
30,40,2,2409932
30,40,4,1970079
30,40,8,1998962
30,40,16,1890159
30,50,1,3634475
30,50,2,2514318
30,50,4,2059386
30,50,8,1966211
30,50,16,1961533
30,60,1,3986934
30,60,2,2859714
30,60,4,2181525
30,60,8,2070436
30,60,16,2229866
30,70,1,4374160
30,70,2,2922702
30,70,4,2309324
30,70,8,2067711
30,70,16,2235295
30,80,1,4868997
30,80,2,3136533
30,80,4,2300196
30,80,8,2117625
30,80,16,2145677
30,90,1,5192642
30,90,2,3309226
30,90,4,2401396
30,90,8,2159514
30,90,16,2320675
30,100,1,5616787
30,100,2,3528987
30,100,4,2463573
30,100,8,2333559
30,100,16,2303443
40,10,1,2241367
40,10,2,1900979
40,10,4,1681609
40,10,8,1867757
40,10,16,1688181
40,20,1,2836822
40,20,2,2223693
40,20,4,1946504
40,20,8,1880591
40,20,16,1828723
40,30,1,3426245
40,30,2,2473271
40,30,4,2078321
40,30,8,2019602
40,30,16,1935674
40,40,1,4057598
40,40,2,2788561
40,40,4,2196212
40,40,8,1968406
40,40,16,2046873
40,50,1,4718014
40,50,2,3098551
40,50,4,2470386
40,50,8,2098840
40,50,16,2271373
40,60,1,5355307
40,60,2,3393284
40,60,4,2495262
40,60,8,2321687
40,60,16,2138684
40,70,1,5927698
40,70,2,3723011
40,70,4,2629774
40,70,8,2399142
40,70,16,2194830
40,80,1,6476386
40,80,2,4009537
40,80,4,2769596
40,80,8,2497506
40,80,16,2326446
40,90,1,7121764
40,90,2,4319948
40,90,4,2978186
40,90,8,2501253
40,90,16,2610157
40,100,1,7726917
40,100,2,4562763
40,100,4,3370070
40,100,8,2551507
40,100,16,2713621
50,10,1,2475856
50,10,2,2156308
50,10,4,1889468
50,10,8,2388262
50,10,16,2275761
50,20,1,3302273
50,20,2,3133667
50,20,4,2099410
50,20,8,2037175
50,20,16,2033197
50,30,1,4144320
50,30,2,3769848
50,30,4,2235526
50,30,8,2139937
50,30,16,2102006
50,40,1,4956661
50,40,2,4183533
50,40,4,2576253
50,40,8,2143383
50,40,16,2450839
50,50,1,5706384
50,50,2,4115666
50,50,4,3260124
50,50,8,2931499
50,50,16,2681641
50,60,1,6720843
50,60,2,4810307
50,60,4,3034091
50,60,8,2544454
50,60,16,2581834
50,70,1,7395747
50,70,2,4493313
50,70,4,3189602
50,70,8,2642036
50,70,16,2291611
50,80,1,8291775
50,80,2,4971378
50,80,4,3298115
50,80,8,2681521
50,80,16,2751692
50,90,1,9015951
50,90,2,5254368
50,90,4,3576356
50,90,8,3162672
50,90,16,2807426
50,100,1,9871153
50,100,2,5653005
50,100,4,3745403
50,100,8,2941759
50,100,16,3010637
60,10,1,2676291
60,10,2,2136721
60,10,4,1978825
60,10,8,1962184
60,10,16,1843412
60,20,1,3725295
60,20,2,2616479
60,20,4,2129166
60,20,8,2086166
60,20,16,2145287
60,30,1,4908931
60,30,2,3130331
60,30,4,2394814
60,30,8,2277024
60,30,16,2204287
60,40,1,5839162
60,40,2,3597816
60,40,4,2680339
60,40,8,2348508
60,40,16,2296289
60,50,1,6796506
60,50,2,4141855
60,50,4,2891684
60,50,8,2474713
60,50,16,2343698
60,60,1,7894601
60,60,2,4839511
60,60,4,3160417
60,60,8,2579469
60,60,16,2610247
60,70,1,8913639
60,70,2,5173797
60,70,4,3441644
60,70,8,2789022
60,70,16,2757763
60,80,1,9876582
60,80,2,6863150
60,80,4,3645866
60,80,8,2964911
60,80,16,2758756
60,90,1,11008211
60,90,2,7167119
60,90,4,5175420
60,90,8,3506005
60,90,16,3164174
60,100,1,11992655
60,100,2,6756090
60,100,4,4178223
60,100,8,3282697
60,100,16,3386150
70,10,1,2923855
70,10,2,2292973
70,10,4,2084704
70,10,8,1983824
70,10,16,1914204
70,20,1,4257852
70,20,2,2857460
70,20,4,2229975
70,20,8,2146780
70,20,16,2177517
70,30,1,5440235
70,30,2,3543936
70,30,4,2622650
70,30,8,2340402
70,30,16,2276672
70,40,1,6728318
70,40,2,4130043
70,40,4,2931188
70,40,8,2525308
70,40,16,2538182
70,50,1,7925419
70,50,2,4704568
70,50,4,3133377
70,50,8,2743947
70,50,16,2560945
70,60,1,9077205
70,60,2,5296707
70,60,4,3454988
70,60,8,2844796
70,60,16,2725563
70,70,1,10306918
70,70,2,5748704
70,70,4,3965905
70,70,8,3210381
70,70,16,3049169
70,80,1,11571776
70,80,2,6545235
70,80,4,4067325
70,80,8,3258662
70,80,16,3405847
70,90,1,13012634
70,90,2,7151179
70,90,4,4356136
70,90,8,3420223
70,90,16,3173792
70,100,1,14158109
70,100,2,8184373
70,100,4,5051538
70,100,8,3693886
70,100,16,3462403
80,10,1,3176026
80,10,2,2415272
80,10,4,2024481
80,10,8,1988252
80,10,16,1985477
80,20,1,4648293
80,20,2,3097179
80,20,4,2456871
80,20,8,2230957
80,20,16,2291019
80,30,1,6078561
80,30,2,3778505
80,30,4,2699274
80,30,8,2374617
80,30,16,2485654
80,40,1,7671133
80,40,2,4527948
80,40,4,3133437
80,40,8,2555695
80,40,16,2549273
80,50,1,9007034
80,50,2,5245210
80,50,4,3475377
80,50,8,2843254
80,50,16,2862279
80,60,1,10431360
80,60,2,5987651
80,60,4,4680013
80,60,8,3259743
80,60,16,3181106
80,70,1,11995880
80,70,2,7675321
80,70,4,5010030
80,70,8,3929637
80,70,16,3316420
80,80,1,13309320
80,80,2,8715929
80,80,4,4548256
80,80,8,4251560
80,80,16,3911924
80,90,1,14710704
80,90,2,8957642
80,90,4,5272202
80,90,8,3818380
80,90,16,3559184
80,100,1,16478473
80,100,2,8924370
80,100,4,5696856
80,100,8,4308677
80,100,16,3748498
90,10,1,3421737
90,10,2,2595981
90,10,4,2155475
90,10,8,2048496
90,10,16,2055489
90,20,1,5089298
90,20,2,3272678
90,20,4,2553601
90,20,8,2495012
90,20,16,2452762
90,30,1,6821893
90,30,2,4169426
90,30,4,3064818
90,30,8,2553581
90,30,16,2399923
90,40,1,8440383
90,40,2,4931794
90,40,4,3386140
90,40,8,2760448
90,40,16,2699585
90,50,1,10082628
90,50,2,5792797
90,50,4,3912586
90,50,8,2936197
90,50,16,3039421
90,60,1,11903969
90,60,2,6564571
