trials,multiplications,threads,time
2320,1378,8,1118373287
1094,1387,2,1772461562
1666,816,8,480548295
212,1119,1,462939993
944,1282,1,2590250222
1567,1520,8,824291748
1245,1438,8,623037512
209,1705,1,715535808
1109,1833,1,4361179414
67,615,8,14931169
669,36,1,52663995
1888,2360,8,1518551525
973,469,8,156666684
1134,852,2,1084861535
1743,1782,8,1093017627
1438,2151,2,3656661919
1519,720,4,637108921
352,1965,2,802344571
2113,2137,1,9853899621
1876,655,2,1455301207
2361,223,2,645001309
701,909,8,229589825
76,1240,2,87373059
313,1828,1,1224690459
1357,510,2,806232130
77,289,8,8645409
524,240,2,138962332
396,860,1,705928919
1595,83,8,51020498
660,1515,8,346449891
1930,1394,1,5928880775
380,1820,8,229689112
530,129,2,75288070
2354,414,4,605714523
1428,213,4,177137256
33,1892,2,45763624
2137,2195,1,10390857025
1812,1760,1,6904822213
1133,381,8,149340651
2027,1563,1,6814840935
1386,916,8,466780890
185,2232,4,225598354
1951,45,2,95991975
335,1754,8,199864878
1747,174,2,350472672
749,320,1,507114815
1835,1408,1,5616493551
291,1167,4,209852180
1568,1009,4,923874481
481,1039,4,309375197
302,571,8,58947119
1058,1775,1,4057955939
1678,1908,4,1938440894
176,1171,8,68268463
435,2270,2,1207908346
1773,446,1,1671439982
239,1435,2,346720867
1452,37,2,64130185
1759,652,2,1314807997
1934,2379,4,2826483269
1728,1318,2,2654419608
616,2451,4,889941351
283,450,8,47604861
884,2162,1,4130090883
1361,2419,1,7275544605
391,2366,4,513006288
258,1219,1,629338220
1837,1198,1,4838612063
1118,1504,2,1935639858
1070,10,4,10272075
659,715,1,1063187445
1151,924,8,379456214
1901,1224,1,5123933098
1866,1974,1,7923654475
2433,1792,2,5163144542
692,481,4,203993179
1789,2192,1,8304294476
1851,2114,8,1378364307
1135,1267,4,846361587
536,783,2,474295031
515,514,8,90966856
1836,2251,4,2481530452
523,2214,1,2408072562
1163,1307,8,541214548
1565,103,4,98189982
1120,1277,2,1633792467
1742,1258,1,4667551521
875,1753,4,939247206
1792,330,2,694384038
1442,92,4,82112667
1141,2241,1,5622951464
2312,372,8,300883757
1726,870,8,522543466
1697,681,4,706133350
1442,1988,4,1758263590
1959,487,2,1084835051
958,14,1,34074475
1943,1664,2,3666178453
854,1655,8,487907270
306,2063,1,1297294432
340,171,8,24640880
1911,1359,2,3047899221
2299,2291,4,3185143722
1245,1323,1,3556143772
590,1996,8,405052202
1618,66,4,66414021
1655,412,4,410016508
2161,429,8,317018920
1639,1764,8,1003438966
81,1936,1,286587818
557,18,4,9056198
437,883,8,131954586
428,1754,2,842524633
1347,1288,8,621536160
362,1283,1,991600619
1746,739,8,467122500
455,476,2,226395897
1757,2253,8,1405194576
46,1073,4,21806603
1840,258,8,159713023
983,3,1,9855695
1558,1132,8,616103698
837,26,1,48561783
1469,1493,1,4744674234
218,251,1,109415722
1359,910,8,433370469
1575,667,8,368048884
515,409,8,76819205
1485,134,4,117680006
