trials,multiplications,threads,time
693,257,8,1160163970
82,37,1,113183179
476,350,4,1044544468
38,139,8,123873896
523,856,1,2617269159
248,584,8,981635581
723,887,2,3651003066
483,91,8,384031293
63,632,8,374542276
776,552,4,2545089683
856,60,4,413165683
860,751,4,3718038440
312,289,1,614104773
284,307,4,602227675
350,578,8,1274838361
633,144,2,611271407
892,149,8,916429452
726,639,4,2702111985
288,305,2,591443152
7,290,1,103453021
561,190,1,682899100
59,709,1,324222850
776,974,2,4321157003
798,329,2,1570301112
979,672,8,3870303956
70,599,4,355484373
118,930,1,716284930
985,498,8,2920899162
853,162,2,884525587
24,435,4,175931787
153,82,4,186171900
945,899,2,4902386421
89,178,4,198131052
263,63,2,194627142
46,99,8,116337455
699,144,2,659903874
253,547,8,896263053
603,207,1,797924559
85,698,8,472908623
867,677,4,3378485146
448,843,2,2243868469
288,193,8,495280621
483,186,1,600090042
331,500,2,1026324335
825,420,2,2004071756
980,260,4,1554044915
366,972,2,2084404206
113,677,2,525912325
911,562,2,3011483347
89,526,8,411385459
831,500,4,2483560238
847,17,4,202529918
516,906,8,2740134757
834,204,4,1049039495
313,126,2,321539687
813,926,1,4335129555
958,93,8,632116186
463,179,1,559288387
186,591,8,815037029
589,422,2,1498103302
402,266,1,700305260
134,811,2,703948462
375,56,2,220637442
658,559,4,2204304763
314,426,8,910546497
62,756,1,351979681
945,422,2,2371224295
199,415,4,580810353
138,42,2,145260690
142,570,8,579034098
708,500,4,2134092320
507,66,8,320997582
353,889,1,1862203467
153,747,8,802307705
517,356,2,1137100707
443,943,8,2456495994
28,208,8,123580928
606,212,1,838811132
279,21,8,140083997
410,856,8,2072074600
13,809,8,159227952
110,178,8,215993327
371,711,8,1587794215
723,645,4,2714887184
259,115,4,279427809
689,623,4,2533840651
696,626,1,2570550033
363,755,4,1608918658
719,643,8,2709870491
637,974,8,3582272779
435,36,2,198293806
649,129,8,640159526
347,748,1,1558649466
699,483,1,2021205926
307,495,8,1014027600
302,133,4,340600977
325,189,2,446407234
979,97,4,649398996
335,746,4,1508588875
322,200,1,459031731
447,995,4,2628164750
92,882,4,568706391
459,724,2,1977174434
470,61,4,275331299
899,141,1,800463171
200,235,1,357163016
684,404,2,1634900896
428,723,8,1884829561
592,35,8,269073261
995,780,4,4386588153
167,184,4,284502770
920,166,2,975958892
486,682,8,1934296531
552,249,1,883417952
136,451,1,438457709
650,544,8,2136586309
347,272,1,618588297
507,572,4,1753867834
538,154,8,641155171
100,458,2,354610457
220,445,1,649137075
566,302,2,1063482458
110,368,4,335704188
971,196,4,1190239101
377,2,8,100364168
348,501,8,1121548478
309,724,2,1348468853
70,231,1,183080612
849,175,2,945078222
688,926,4,3675583189
387,896,4,2062918086
209,218,1,349948698
847,915,8,4426545818
342,22,8,157207017
500,787,8,2295991873
397,92,1,303190050
645,911,2,3404376674
516,829,8,2519241737
556,689,4,2272793507
518,772,1,2331323406
830,63,8,437312995
734,961,8,4008814907
965,944,8,5280069047
826,55,4,364221171
58,273,4,196777748
229,331,2,528536519
688,892,4,3490063240
379,97,1,303928392
312,235,1,505216555
358,858,2,1833400608
313,539,2,1049884086
969,902,8,5089160328
891,513,1,2641606537
794,215,1,1057531905
585,148,1,584529978
3,405,2,97971457
134,858,4,741061381
338,244,4,624295584
18,95,1,103346972
75,687,8,436151520
548,121,8,514121609
818,121,8,690409182
280,118,4,300528867
905,419,4,2235725403
430,158,2,474163503
80,72,4,138839777
903,515,8,2750678899
94,571,1,390110785
693,569,4,2316447143
799,370,1,1778076311
680,324,1,1348334892
315,519,1,1009294859
600,141,4,610654994
165,213,1,291790005
754,492,1,2190923478
553,194,1,713915474
724,377,8,1691509458
860,675,1,3392568334
62,102,8,138157580
520,780,1,2385005499
199,493,1,649686845
980,248,4,1511402714
692,168,4,771368576
836,473,4,2375339290
136,721,8,711061750
278,316,4,601892927
47,198,1,146112024
187,90,8,212330999
507,856,8,2621163720
530,197,1,707787339
813,179,1,917072776
803,396,8,1955251967
430,343,8,986184709
280,600,2,1044156262
255,86,4,247209915
551,700,4,2279871200
505,596,4,1816779267
550,115,4,469952498
421,700,1,1715269134
653,850,2,3171382746
725,318,8,1477541874
854,394,8,2006174853
108,823,1,596121592
525,327,2,1058322957
262,553,4,923351462
163,513,1,557914275
514,11,1,131486339
11,557,8,119266710
311,598,4,1128077222
340,603,1,1271841189
809,842,4,4038533120
205,12,8,109400016
374,714,8,1660265738
525,420,1,1330019209
50,631,8,297529431
514,354,8,1181712847
707,471,1,1964798321
293,456,4,886753668
36,468,8,192290797
90,204,8,216844199
159,474,2,525883191
750,173,1,840804305
246,380,8,644337188
697,480,8,2055837199
367,640,2,1410634389
824,950,1,4521596166
563,324,1,1125909422
415,853,1,2113480617
58,140,1,141690134
165,665,1,718525185
308,710,8,1388077865
24,251,8,144415127
227,227,2,386778777
765,781,2,3448997109
28,242,4,142697340
940,911,1,4919944095
304,314,8,659143380
342,12,8,118975464
559,98,1,407883733
608,183,8,736635103
769,907,2,3951679710
954,945,8,5174449610
375,979,8,2170394741
402,857,1,2012130534
711,631,4,2636671747
508,921,4,2763593690
678,96,2,470622844
275,743,4,1265869989
897,557,2,2919682293
683,28,4,228922163
612,5,8,116054135
715,167,2,779061059
826,736,1,3526843455
87,797,2,473637017
408,439,4,1141416969
566,690,4,2307871336
453,944,8,2558534286
208,611,1,811326982
189,307,8,443476236
114,25,2,116195961
765,341,2,1587833219
40,931,8,411376954
833,102,8,656353287
287,925,1,1612489474
793,429,2,2001884360
80,430,1,300142754
585,851,1,2867173669
389,713,8,1691398760
987,81,8,604439565
395,939,4,2198067504
472,534,4,1506599730
432,141,8,498004682
314,29,4,157289893
269,830,2,1348429259
342,964,8,2056053172
148,961,1,891623096
625,247,4,963723543
196,132,1,247422052
589,376,8,1404455420
302,500,8,1051974259
282,49,2,183922599
357,82,4,294143531
110,547,2,427076209
257,125,2,288683959
786,673,1,3082162995
632,92,8,480814275
432,306,8,938890246
454,359,2,1027663952
944,659,8,3641549425
388,654,2,1498259244
945,263,8,1594505792
338,387,2,831006239
968,687,2,3845697443
2,202,2,96097729
51,604,2,281463039
376,417,4,1013881998
670,691,2,2672364839
708,469,1,1932511831
204,959,2,1204787317
95,263,4,253855782
469,37,4,212180377
752,120,1,607754806
2,152,2,95092373
204,740,2,960375165
744,582,4,2540884033
354,901,1,1917711202
968,768,8,4323942376
145,607,2,602783428
361,439,2,981776162
15,213,4,107928586
57,248,4,199761226
962,354,8,2090827111
429,352,2,957679028
386,617,1,1430773160
700,90,8,492702364
365,520,2,1158175550
171,98,1,187204817
