trials,multiplications,batchsize,time
999,994,8,7577514648
1337,1610,64,3842766782
460,418,64,2600845715
36,1926,256,1910112479
650,2399,32,4430926806
1827,858,64,3480371396
2354,1246,256,2978013021
1477,1889,256,2885176775
2273,1230,8,17219930314
400,270,8,3053371414
1466,89,8,3209418287
524,42,64,2526887434
2200,2276,64,5733373381
1147,2181,64,4143110654
1758,627,8,8221408723
122,1527,32,2672917567
2434,2221,8,30962921478
1035,929,8,7775504177
1385,1805,256,2870726827
565,659,64,2704650774
1823,2057,256,3112638810
838,2258,32,4887824471
391,811,8,4095298783
449,371,32,2693272837
274,2197,64,2835701441
1144,2151,64,3995653750
950,964,256,2619033167
2299,1732,8,22453801496
912,899,64,3028463379
901,1948,64,3616610397
1182,16,256,2508121416
704,800,8,5387453454
2292,1993,32,8356900456
2298,591,8,9527732680
1933,1977,32,7340375743
2173,1674,64,4771580960
378,1495,64,2800388073
1035,2384,256,2922648276
2500,2257,256,3379021133
204,1529,32,2873674649
2426,549,8,9410547666
1605,2446,8,23573131759
1451,2478,8,20657447749
1314,2178,8,17894963573
421,1569,256,2565680454
2374,1933,64,5440601445
1303,1951,8,15680360657
981,1349,64,3322055106
403,959,32,2965671777
998,1415,256,2670224075
1015,2325,32,5474258434
2416,1646,8,23266522075
1663,1643,64,4171119402
2467,228,32,3224322973
1218,1615,256,2762369872
328,1782,256,2555917530
746,1777,256,2660362287
2163,289,256,2575397011
1970,358,32,3394007845
2278,537,32,4057941177
1118,1559,8,11382309308
1543,1226,64,3708338330
1512,41,32,2589491212
1632,2234,8,21669304485
1681,1534,256,2859322895
1186,2367,32,6132017609
603,387,64,2653844056
1685,675,8,8689513563
1806,1151,256,2844158571
2086,52,64,2579486645
1578,2274,256,3070460387
1862,2486,8,26096216804
1814,551,32,3782506076
672,1163,32,3490669123
859,757,256,2595782357
1429,2365,256,3016024085
619,1497,32,3716947965
2368,1945,256,3262960553
2303,971,256,2824251359
2024,1574,32,6678960523
902,861,8,6541323457
676,2061,64,3430713019
1464,669,256,2658232801
2349,1126,256,2934774795
1605,1395,64,3938214296
1334,1146,256,2738371101
828,108,8,2987486519
737,573,64,2771022868
1344,1895,32,5919614549
1254,870,64,3179240810
721,2103,32,4400707078
487,586,8,4078636885
1960,419,32,3567762865
