trials,multiplications,threads,time
10,10,1,100247087
10,10,2,120096282
10,10,4,102394096
10,10,8,102069197
10,20,1,109661730
10,20,2,100902624
10,20,4,122126312
10,20,8,197793438
10,30,1,119811628
10,30,2,166687623
10,30,4,119852064
10,30,8,141927636
10,40,1,106137603
10,40,2,111143453
10,40,4,114506638
10,40,8,101859815
10,50,1,115802113
10,50,2,112342597
10,50,4,101983648
10,50,8,122599127
10,60,1,108876540
10,60,2,110399220
10,60,4,120309069
10,60,8,105726584
10,70,1,108881089
10,70,2,107977597
10,70,4,130486160
10,70,8,145885234
10,80,1,141485328
10,80,2,125066494
10,80,4,107869775
10,80,8,121756819
10,90,1,119252171
10,90,2,106474984
10,90,4,134705367
10,90,8,124713123
10,100,1,123247840
10,100,2,131913913
10,100,4,110112173
10,100,8,120822922
20,10,1,119886829
20,10,2,106065959
20,10,4,107951528
20,10,8,119592849
20,20,1,125902349
20,20,2,142221256
20,20,4,129439871
20,20,8,119019466
20,30,1,117077401
20,30,2,150040392
20,30,4,117987183
20,30,8,125845954
20,40,1,106316177
20,40,2,113395479
20,40,4,108710519
20,40,8,137902812
20,50,1,147667049
20,50,2,137907351
20,50,4,157451745
20,50,8,139045350
20,60,1,130862173
20,60,2,136191939
20,60,4,161895152
20,60,8,151340726
20,70,1,115325231
20,70,2,113896096
20,70,4,133261604
20,70,8,112087611
20,80,1,165948469
20,80,2,132195880
20,80,4,189008154
20,80,8,139561117
20,90,1,150942521
20,90,2,154273295
20,90,4,150030503
20,90,8,150438638
20,100,1,138878459
20,100,2,180875160
20,100,4,161004795
20,100,8,127108777
30,10,1,133596452
30,10,2,120945391
30,10,4,102963161
30,10,8,108468886
30,20,1,116302771
30,20,2,163111589
30,20,4,134533996
30,20,8,280381951
30,30,1,132905248
30,30,2,215480976
30,30,4,117297302
30,30,8,118064629
30,40,1,125453539
30,40,2,132915777
30,40,4,129795948
30,40,8,128722689
30,50,1,110902081
30,50,2,152077225
30,50,4,131067808
30,50,8,126683021
30,60,1,154181874
30,60,2,158804807
30,60,4,135426447
30,60,8,125871331
30,70,1,126188345
30,70,2,131168747
30,70,4,148463109
30,70,8,138255964
30,80,1,126601468
30,80,2,140193460
30,80,4,135948494
30,80,8,151688296
30,90,1,137090893
30,90,2,132292631
30,90,4,127589257
30,90,8,123398843
30,100,1,133314464
30,100,2,135267320
30,100,4,141260106
30,100,8,127898055
40,10,1,104796372
40,10,2,102687415
40,10,4,106144516
40,10,8,101791488
40,20,1,114939318
40,20,2,102431115
40,20,4,123252239
40,20,8,109240200
40,30,1,145742297
40,30,2,113363509
40,30,4,106804691
40,30,8,163434153
40,40,1,131976329
40,40,2,117125370
40,40,4,111515970
40,40,8,113503090
40,50,1,110539252
40,50,2,121027534
40,50,4,123561147
40,50,8,122958238
40,60,1,123737166
40,60,2,123414142
40,60,4,131644187
40,60,8,124043690
40,70,1,144154424
40,70,2,149576965
40,70,4,137952916
40,70,8,128977365
40,80,1,144757593
40,80,2,136919332
40,80,4,134632902
40,80,8,132450135
40,90,1,132231336
40,90,2,147422592
40,90,4,140856852
40,90,8,158519032
40,100,1,145342528
40,100,2,156856421
40,100,4,141144901
40,100,8,139049519
50,10,1,100358295
50,10,2,103097442
50,10,4,100794281
50,10,8,133388613
50,20,1,111320524
50,20,2,111263929
50,20,4,113017150
50,20,8,108460440
50,30,1,123157422
50,30,2,114342150
50,30,4,121754005
50,30,8,116161896
50,40,1,129834970
50,40,2,125123842
50,40,4,115629781
50,40,8,116913053
50,50,1,143076767
50,50,2,126929993
50,50,4,128948872
50,50,8,138861347
50,60,1,173859057
50,60,2,129746795
50,60,4,156741516
50,60,8,131391374
50,70,1,127962014
50,70,2,145786500
50,70,4,147849431
50,70,8,142137169
50,80,1,142264818
50,80,2,153884918
50,80,4,141683459
50,80,8,190431869
50,90,1,148909064
50,90,2,148079291
50,90,4,141354854
50,90,8,149453774
50,100,1,146828159
50,100,2,156269452
50,100,4,165880513
50,100,8,162041957
60,10,1,103694459
60,10,2,111135568
60,10,4,118364550
60,10,8,108414905
60,20,1,110797746
60,20,2,118996754
60,20,4,116370527
60,20,8,125932165
60,30,1,112596633
60,30,2,116041501
60,30,4,123463134
60,30,8,125403145
60,40,1,124633685
60,40,2,129731447
60,40,4,122694164
60,40,8,146811148
60,50,1,150617182
60,50,2,128780016
60,50,4,135147585
60,50,8,143571233
60,60,1,125071274
60,60,2,147593332
60,60,4,142522640
60,60,8,135021138
60,70,1,152633155
60,70,2,132296348
60,70,4,156837175
60,70,8,144251196
60,80,1,147776163
60,80,2,146071823
60,80,4,188812808
60,80,8,148797024
60,90,1,147447979
60,90,2,171082580
60,90,4,157801600
60,90,8,179006853
60,100,1,171650693
60,100,2,159794110
60,100,4,162848987
60,100,8,180612839
70,10,1,104765114
70,10,2,115828362
70,10,4,108732510
70,10,8,111203465
70,20,1,114882322
70,20,2,125922427
70,20,4,120000071
70,20,8,136856364
70,30,1,119183091
70,30,2,121820659
70,30,4,136129904
70,30,8,128232821
70,40,1,126584516
70,40,2,137777307
70,40,4,132742573
70,40,8,130336770
70,50,1,138789231
70,50,2,137536396
70,50,4,144061240
70,50,8,156559144
70,60,1,148829245
70,60,2,152706573
70,60,4,135465410
70,60,8,146533538
70,70,1,150141761
70,70,2,148202472
70,70,4,160934113
70,70,8,153907551
70,80,1,150877499
70,80,2,208385515
70,80,4,165405452
70,80,8,171908706
70,90,1,158362630
70,90,2,184658241
70,90,4,173044071
70,90,8,181180932
70,100,1,163964515
70,100,2,166585853
70,100,4,250416881
70,100,8,172652769
80,10,1,113860129
80,10,2,111293474
80,10,4,133446661
80,10,8,119553435
80,20,1,113198480
80,20,2,150955374
80,20,4,114685523
80,20,8,117946927
80,30,1,128219377
80,30,2,131578995
80,30,4,157043541
80,30,8,130813943
80,40,1,127539524
80,40,2,130597307
80,40,4,136317034
80,40,8,137843581
80,50,1,148312608
80,50,2,147629599
80,50,4,155422046
80,50,8,167598208
80,60,1,145284670
80,60,2,169444884
80,60,4,153563897
80,60,8,162680112
80,70,1,153269326
80,70,2,162705118
80,70,4,178071181
80,70,8,184745715
80,80,1,158146986
80,80,2,161846411
80,80,4,178916323
80,80,8,192762150
80,90,1,165040741
80,90,2,182183890
80,90,4,172680842
80,90,8,196276448
80,100,1,188287344
80,100,2,181520087
80,100,4,193800755
80,100,8,267963265
90,10,1,104289674
90,10,2,127374836
90,10,4,121345299
90,10,8,114603069
90,20,1,133938632
90,20,2,118666585
90,20,4,128478411
90,20,8,118782241
90,30,1,146002985
90,30,2,134293356
90,30,4,132011264
90,30,8,132089270
90,40,1,139831593
90,40,2,131806201
90,40,4,133117888
90,40,8,141232119
90,50,1,138814404
90,50,2,147725725
90,50,4,152313953
90,50,8,146617831
90,60,1,153238664
90,60,2,163545247
90,60,4,176943257
90,60,8,159776984
90,70,1,160087094
90,70,2,168060669
90,70,4,172146608
90,70,8,178846870
90,80,1,218353251
90,80,2,237665993
90,80,4,223175678
90,80,8,192988341
90,90,1,170242443
90,90,2,194076428
90,90,4,175274072
90,90,8,229888283
90,100,1,175566911
90,100,2,173546689
90,100,4,279916050
90,100,8,187203763
100,10,1,147403592
100,10,2,152463323
100,10,4,112983952
100,10,8,116428229
100,20,1,133584644
100,20,2,170122630
100,20,4,124588525
100,20,8,133074670
100,30,1,168274060
100,30,2,153440683
100,30,4,146750950
100,30,8,232641427
100,40,1,167418407
100,40,2,180625249
100,40,4,195237682
100,40,8,182687759
100,50,1,347157006
100,50,2,167482648
100,50,4,166354335
100,50,8,163369529
100,60,1,162577516
100,60,2,188962746
100,60,4,210098920
100,60,8,180551831
100,70,1,193040789
100,70,2,235627667
100,70,4,202552645
100,70,8,222945778
100,80,1,192483907
100,80,2,231072951
100,80,4,192993391
100,80,8,224377908
100,90,1,305317679
100,90,2,194934023
100,90,4,220890260
100,90,8,225125428
100,100,1,207715429
100,100,2,192078398
100,100,4,228766233
100,100,8,247214366
100,100,1,205075026
100,100,2,211674549
100,100,4,235947826
100,100,8,242202595
100,200,1,482815664
100,200,2,345404676
100,200,4,409062116
100,200,8,300949512
100,300,1,538366608
100,300,2,466042196
100,300,4,428274549
100,300,8,583495334
100,400,1,541358248
100,400,2,513271874
100,400,4,616935981
100,400,8,492096877
100,500,1,639946493
100,500,2,701714085
100,500,4,662689666
100,500,8,706349722
100,600,1,627263212
100,600,2,666275248
100,600,4,883805208
100,600,8,977130372
100,700,1,864179301
100,700,2,863674135
100,700,4,829691093
100,700,8,1087763073
100,800,1,858920237
100,800,2,948336112
100,800,4,956281926
100,800,8,971097358
100,900,1,1117868397
100,900,2,1021860451
100,900,4,1404115667
100,900,8,1044902503
100,1000,1,1219983113
100,1000,2,1283265921
100,1000,4,1121661336
100,1000,8,1118398819
200,100,1,354206072
200,100,2,332932329
200,100,4,397960425
200,100,8,354210200
200,200,1,458952144
200,200,2,651424299
200,200,4,539502494
200,200,8,500498744
200,300,1,734624199
200,300,2,665346359
200,300,4,781991555
200,300,8,756639068
200,400,1,944045951
200,400,2,849728050
200,400,4,986364156
200,400,8,983701041
200,500,1,1270591916
200,500,2,1205751023
200,500,4,1298127320
200,500,8,1277082146
200,600,1,1530796959
200,600,2,1455851560
200,600,4,1662203437
200,600,8,1473589904
200,700,1,1440746996
200,700,2,1550854275
200,700,4,1685380963
200,700,8,1761310093
200,800,1,1971646257
200,800,2,1826569491
200,800,4,1776453991
200,800,8,1942943499
200,900,1,1986265022
200,900,2,1910531868
200,900,4,2116453539
200,900,8,1847990909
200,1000,1,2340690555
200,1000,2,2160686548
200,1000,4,2241849235
200,1000,8,2459695017
300,100,1,426253927
300,100,2,458878666
300,100,4,460015995
300,100,8,429788873
300,200,1,712105597
300,200,2,763072431
300,200,4,710276903
300,200,8,841890960
300,300,1,1130858222
300,300,2,992890102
300,300,4,1175682959
300,300,8,1170068269
300,400,1,1562882470
300,400,2,1274738108
300,400,4,1371841023
300,400,8,1379866255
300,500,1,1681468398
300,500,2,1665687288
300,500,4,1656446430
