trials,multiplications,threads,batchsize,time
10,10,1,1,1478927742
10,10,2,1,1547956529
10,10,4,1,1495550691
10,10,8,1,1474409027
10,20,1,1,1495009239
10,20,2,1,1508291900
10,20,4,1,1498259670
10,20,8,1,1518120088
10,30,1,1,1518158719
10,30,2,1,1552483999
10,30,4,1,1513030796
10,30,8,1,1481336689
10,40,1,1,1519435649
10,40,2,1,1496759334
10,40,4,1,1519551174
10,40,8,1,1498384684
10,50,1,1,1518483077
10,50,2,1,1522735753
10,50,4,1,1526693448
10,50,8,1,1538692907
10,60,1,1,1518486873
10,60,2,1,1526210815
10,60,4,1,1551282622
10,60,8,1,1592938206
10,70,1,1,1555665452
10,70,2,1,1534718432
10,70,4,1,1568746866
10,70,8,1,1536635999
10,80,1,1,1516153749
10,80,2,1,1530990787
10,80,4,1,1538559177
10,80,8,1,1521536048
10,90,1,1,1537054101
10,90,2,1,1562235063
10,90,4,1,1528645871
10,90,8,1,1557537123
10,100,1,1,1529619011
10,100,2,1,1577042898
10,100,4,1,1532851118
10,100,8,1,1637060726
20,10,1,1,1514240008
20,10,2,1,1474471074
20,10,4,1,1521733998
20,10,8,1,1562401054
20,20,1,1,1613985274
20,20,2,1,1568558153
20,20,4,1,1575083622
20,20,8,1,1562450556
20,30,1,1,1549385883
20,30,2,1,1566819240
20,30,4,1,1565066371
20,30,8,1,1563693853
20,40,1,1,1551161215
20,40,2,1,1538753060
20,40,4,1,1552710073
20,40,8,1,1533629494
20,50,1,1,1541681209
20,50,2,1,1538101190
20,50,4,1,1578486980
20,50,8,1,1540806973
20,60,1,1,1579203009
20,60,2,1,1569986807
20,60,4,1,1589093784
20,60,8,1,1559876039
20,70,1,1,1558191889
20,70,2,1,1583009360
20,70,4,1,1583246233
20,70,8,1,1547746356
20,80,1,1,1545681203
20,80,2,1,1583239521
20,80,4,1,1587924566
20,80,8,1,1583570861
20,90,1,1,1617685697
20,90,2,1,1560695753
20,90,4,1,1594609824
20,90,8,1,1607733658
20,100,1,1,1576583258
20,100,2,1,1586266033
20,100,4,1,1580469137
20,100,8,1,1597845187
30,10,1,1,1536372356
30,10,2,1,1518806301
30,10,4,1,1544545447
30,10,8,1,1517758572
30,20,1,1,1529881262
30,20,2,1,1532363796
30,20,4,1,1536759972
30,20,8,1,1558468286
30,30,1,1,1535703605
30,30,2,1,1522221401
30,30,4,1,1550169339
