trials,multiplications,threads,time
10,10,1,3034619
10,10,2,2484199
10,10,4,2495570
10,10,8,2602300
10,10,16,3575460
10,20,1,2165733
10,20,2,1852777
10,20,4,1978212
10,20,8,2328488
10,20,16,3728127
10,30,1,2501702
10,30,2,2027815
10,30,4,1915194
10,30,8,2350739
10,30,16,3354918
10,40,1,2706144
10,40,2,2274426
10,40,4,1857957
10,40,8,2381316
10,40,16,3451899
10,50,1,3139495
10,50,2,2234180
10,50,4,2102054
10,50,8,2456276
10,50,16,3563018
10,60,1,3429668
10,60,2,2589516
10,60,4,2119597
10,60,8,2443613
10,60,16,3531779
10,70,1,3727836
10,70,2,2671770
10,70,4,2174539
10,70,8,2488647
10,70,16,3211210
10,80,1,4043917
10,80,2,2946043
10,80,4,2235494
10,80,8,2647334
10,80,16,3387158
10,90,1,4393522
10,90,2,3109940
10,90,4,2305444
10,90,8,2840726
10,90,16,3480904
10,100,1,4729741
10,100,2,3316627
10,100,4,2383070
10,100,8,2727624
10,100,16,3259520
20,10,1,2069833
20,10,2,1891249
20,10,4,1849882
20,10,8,2267263
20,10,16,3649369
20,20,1,2707727
20,20,2,2219133
20,20,4,2144753
20,20,8,2295376
20,20,16,3438866
20,30,1,3452261
20,30,2,2514395
20,30,4,2192623
20,30,8,2484309
20,30,16,3834636
20,40,1,4073483
20,40,2,2983854
20,40,4,2383290
20,40,8,2542368
20,40,16,3828475
20,50,1,4715805
20,50,2,3276832
20,50,4,2549621
20,50,8,2718598
20,50,16,3615606
20,60,1,5394454
20,60,2,3638038
20,60,4,2733676
20,60,8,2817372
20,60,16,3685737
20,70,1,6046415
20,70,2,3948348
20,70,4,3022987
20,70,8,2936756
20,70,16,4066210
20,80,1,6671174
20,80,2,4339110
20,80,4,3078471
20,80,8,3047223
20,80,16,3972584
20,90,1,7281416
20,90,2,4543883
20,90,4,3179059
20,90,8,3389533
20,90,16,4735041
20,100,1,8012313
20,100,2,4783702
20,100,4,3431611
20,100,8,3529565
20,100,16,4068524
30,10,1,2426711
30,10,2,2090813
30,10,4,1972281
30,10,8,2349186
30,10,16,3427524
30,20,1,3435879
30,20,2,2543981
30,20,4,2194777
30,20,8,2473218
30,20,16,3726012
30,30,1,4452142
30,30,2,3031553
30,30,4,2396634
30,30,8,2829765
30,30,16,3637176
30,40,1,5357145
30,40,2,3594376
30,40,4,2627728
30,40,8,2806232
30,40,16,3540335
30,50,1,6337520
30,50,2,4089673
30,50,4,2867737
30,50,8,3032235
30,50,16,3881794
30,60,1,7259895
30,60,2,4476357
30,60,4,3142150
30,60,8,3146338
30,60,16,3647917
30,70,1,8306094
30,70,2,5027618
30,70,4,3807304
30,70,8,3346442
30,70,16,4586272
30,80,1,9265949
30,80,2,5479023
30,80,4,3728999
30,80,8,3597783
